"","E11","G33","I09","M18","B27","A02","A28","A33","A37","C02","D02","D10","D18","G02","G47","K43","M04","M16","P15","YA02","YA03","YA04","YA06","YA07","YA10","YA11","YA12","YA13","YA14","YA16","YA19","YA21","YA23","YA26","YA28","YA29","YA30","YA31","YA32","YA33","YA34","YB31","YB32","YB34","YB35","YB36","YB37","YB38","YB39","YB40","YB41","YB43","YB45","YB46","YB47","YB50","YB52","YB54","YB55","YB56","YB57","YB59","Z04","Z12","Z14","zero_counts","sample_percent"
"Gp_MJ4_197",0.0000247721468047975,0.0000343776731168618,0.0000343776731168618,0.0000318499030347396,0.00000556109418066883,0.0000217388227062509,0.00000657220221351771,0.000028816578936193,0.0000824053046771835,0.00000808886426279102,0.000172899473617158,0.00000404443213139551,0.000113749653695499,0.0000631942520530549,0.0000111221883613377,0.00000707775622994214,0.00124517954245339,0.000237104833703062,0.0000647109141023282,0.00486191297595383,0.00144082894680965,0.000291704667476901,0.00118147973638391,0.000628909196432002,0.000860452935954395,0.0265112526212976,0.0000773497645129392,0.00288721898779997,0.00151615649525689,0.0000409498753303795,0.000201716052553351,0.0000824053046771835,0.0107809394002512,0.000105155235416283,0.000148127326812361,0.00907014460867086,0.0000475220775438973,0.000375626634203358,0.000150655096894483,0.00615916458209894,0.000107177451481981,0.012518528554702,0.0000465109695110484,0.000140544016565994,0.0414003239590137,0.000057633157872386,0.045878015882485,0.0840256052998239,0.00876428442873407,0.0000652164681187526,0.000936791592434485,0.0161175675976275,0.000115266315744772,0.00009908858721919,0.000160766177222972,0.000309904612068181,0.0000849330747593057,0.000137510692467447,0.0477126714080893,0.00506716790662215,0.00195447182749688,0.00528758945778321,0.00960400965001507,0.000154193975009454,0.00208642142578366,0,1
"Gp_NH_148",0.0000348832271332863,0.0000611720359873571,0.0000485331855767461,0.0000424665373796529,0.000155710637058727,0.000388771038630394,0.000303332409854663,0.0000222443767226753,0.0000429720913960773,0.000278560263049866,0.000101616357301312,0.0000616775900037815,0.000469659681258304,0.00138016246483872,0.000376132188219783,0.0000323554570511641,0.000541448351590574,0.0000859441827921546,0.000102121911317737,0.0000692609002501481,0.000142060678615267,0.000178460567797827,0.00388417150818896,0.00371127203457181,0.00141403458393916,0.000254293670261493,0.000213343794931113,0.000439831994289262,0.000129927382221081,0.0000884719528742768,0.000237610387719486,0.00018452721599492,0.000235588171653789,0.000184021661978496,0.000182504999929222,0.00906407796047377,0.000102121911317737,0.00009908858721919,0.000922130525958176,0.000186043878044193,0.000205760484684747,0.00701102309977412,0.000133971814352476,0.000557626080116156,0.000246204805998702,0.000110716329596952,0.0000278054709033441,0.000152677312960181,0.000122849625991139,0.000142566232631692,0.000367032215924143,0.000476737437488246,0.00017087725755146,0.000827086370870382,0.0000389276592646818,0.000167843933452914,0.000187560540093467,0.000449437520601326,0.00125933505491328,0.000125882950089685,0.00133314594131125,0.000298782423706843,0.00239329271375329,0.000686036800287964,0.000285132465263384,0,1
"Sg_A11_10",0.0002027271605862,0.000082910858693608,0.0000940330470549456,0.000239632603785184,0.0000530831717245661,0.000271482506819924,0.00329216775495595,0.000376132188219783,0.000245193697965853,0.000826075262837533,0.00131393488868712,0.00232453736751957,0.00113749653695499,0.00300450751961044,0.00343523954160406,0.000129927382221081,0.00262534200729211,0.000844780761445237,0.00100049139850396,0.000528809501179963,0.00133617926540979,0.00388417150818896,0.00214607679972174,0.0269086180782072,0.00171028923756388,0.00282099141164837,0.000937802700467334,0.00225375980522015,0.0012805683236031,0.000258843656409313,0.0112789101064292,0.00154750084427521,0.00149542878058349,0.00170978368354745,0.00113850764498784,0.00650900796146465,0.000356415581579229,0.00124972952860121,0.000708281177010639,0.00176943905748554,0.00188470537323031,0.00316881257494838,0.00176084463920632,0.00130129603827651,0.00059908150946296,0.00149795655066561,0.000361976675759898,0.00224516538694093,0.000782092063408607,0.00009908858721919,0.00775823193604944,0.00236295947276783,0.0201180165295941,0.00149542878058349,0.000579870456838831,0.00125680728483116,0.0136833250085439,0.0036263389598125,0.00199542170282726,0.00260056986048731,0.00103284685555513,0.00218551001300285,0.000975719251699167,0.00118805193859743,0.00113547432088929,0,1
"Sg_A27_31",0.000125377396073261,0.000721931135454099,0.000547514999787667,0.000421632049697982,0.000425170927812953,0.000855902949806575,0.00149340656451779,0.000363998891825596,0.000319510138380245,0.00431540908419901,0.00197621065020313,0.000199188282471229,0.0182595999652179,0.00109351333752606,0.000252777008212219,0.000270976952803499,0.0242686150044388,0.00262786977737423,0.00179421120429033,0.0219713775538061,0.0534138040513077,0.0508011008944262,0.0285830129806049,0.0544567619871913,0.0111793159651936,0.0244167423312511,0.00127652389147171,0.0207231646872542,0.0035601113836609,0.000190088310175589,0.0610982251009591,0.0421283217426649,0.00272089171639633,0.00238014830932626,0.0112111658682284,0.0243682091456744,0.000913030553662537,0.00321077355831161,0.0250678959044058,0.0293908882988512,0.0158678239135139,0.017505818926729,0.00194436074716839,0.0321041967050011,0.0390580922009193,0.00221584325398832,0.000639020276760491,0.00196357179979252,0.00209602695209572,0.000677947936025173,0.00425019261608026,0.0056308606349354,0.0352133539060114,0.00169916704920254,0.0155028139136554,0.0265835468456463,0.000744681066193198,0.00698119541280508,0.0147171829721318,0.0524274681652636,0.0302907744480867,0.0552813205879795,0.00985880887429298,0.00280178035902424,0.0361880620496778,0,1
"Sg_B04_2",0.00109452444555891,0.000680475706107295,0.00117743530425252,0.0032871122147917,0.000371076648055538,0.0026622474504911,0.00187863872503321,0.0000520720636917172,0.0000717886703322703,0.0040504987795926,0.0308544671763999,0.00413442074631906,0.0118188417959705,0.000645086924957584,0.00133516815737694,0.00225022092710518,0.00695490660395101,0.00236700390489922,0.0242969260293585,0.00580426566256898,0.0173314027910626,0.00026996584477065,0.055770191321862,0.0100949025999632,0.035142576343712,0.0263565530922717,0.0166256493841341,0.026036537399875,0.00073911997201253,0.0000773497645129392,0.0152444758112625,0.0296972540328044,0.0178885233171623,0.000406465429205249,0.00744377733783344,0.0625350096156374,0.0000460054154946239,0.0199334893135992,0.0916240821666832,0.0243697258077237,0.123822311918739,0.025862626818225,0.014518500243677,0.0302958299882509,0.0245264475528152,0.000390287700679667,0.000259349210425737,0.0310410166084605,0.00831484690813275,0.000138016246483872,0.0430914021439535,0.013471497875662,0.0759888131007246,0.00433866456895453,0.00271937505434706,0.0201448108924646,0.0313949044199577,0.0427370087784399,0.0297240483956749,0.0427885752881152,0.0215224455872212,0.0553551314743775,0.000363493337809172,0.00426434812854014,0.0123693901198567,0,1
"Sg_B07_50",0.000114255207711923,0.0000278054709033441,0.0000293221329526175,0.000219410443128206,0.00000202221606569776,0.0000328610110675885,0.0000212332686898264,0.0000166832825420065,0.000070272008282997,0.0000131444044270354,0.00000960552631206434,0,0.00000859441827921546,0.0000571276038559616,0.00000101110803284888,0.0000247721468047975,0.000153182866976605,0.00000454998614781995,0.00000808886426279102,0.0000343776731168618,0.0000293221329526175,0.0000323554570511641,0.0000399387672975307,0.0000106166343449132,0.0000217388227062509,0.0000404443213139551,0.00000606664819709327,0.0000192110526241287,0.0000166832825420065,0.00000758331024636658,0.0000424665373796529,0.00000252777008212219,0.0000222443767226753,0.00000556109418066883,0.00000960552631206434,0.0000358943351661352,0,0.0000237610387719486,0.000020727714673402,0.0000722942243486948,0.0000121332963941865,0.0000283110249197686,0.0000192110526241287,0.0000267943628704953,0.0000834164127100324,0.0000166832825420065,0.0000252777008212219,0.00000303332409854663,0.0000171888365584309,0.00000252777008212219,0.0000156721745091576,0.0000247721468047975,0.0000212332686898264,0.000103133019350586,0.0000222443767226753,0.0000510609556588683,0.00000960552631206434,0.0000141555124598843,0.0000424665373796529,0.0000176943905748554,0.0000187054986077042,0.00000758331024636658,0.0000272999168869197,0.000036905443198984,0.000267943628704953,2,0.969231
"Sg_B07_53",0.000226488199358149,0.00603176496995998,0.00088269731267707,0.000169866149518611,0.0000449943074617751,0.000228510415423846,0.000275021384934895,0.000237104833703062,0.00419559278230642,0.0144002006038337,0.00037360441813766,0.00502722913932462,0.00113345210482359,0.000362987783792747,0.00297872426477279,0.00142465121828407,0.000109199667547679,0.0000212332686898264,0.000706258960944941,0.000307376841986059,0.000501004030276619,0.00000657220221351771,0.0000121332963941865,0.0000581387118888105,0.0000313443490183152,0.0000111221883613377,0.000407982091254522,0.00018907720214274,0.000127399612138959,0.000000505554016424439,0.00168703375280835,0.00000454998614781995,0.0000667331301680259,0.0000197166066405531,0.00493117387620398,0.000012638850410611,0.00000202221606569776,0.000825064154804684,0.0000626886980366304,0.000226993753374573,0.0000596553739380838,0.0000242665927883731,0.000028816578936193,0.00000606664819709327,0.00206164927897886,0.00398730452753955,0.000278560263049866,0.000012638850410611,0.00000252777008212219,0.000841747437346691,0.0000419609833632284,0.00126691836515964,0.0000515665096752928,0.000104144127383434,0.000016177728525582,0.000334171204856554,0.00000151666204927332,0.00000303332409854663,0.00013093849025393,0.00000960552631206434,0.0000343776731168618,0.00140796793574206,0.00088269731267707,0.0107637505636927,0.0639475275375273,0,1
"Sg_B26_4",0.000203232714602624,0.000115771869761197,0.000156216191075152,0.00288924120386567,0.0000106166343449132,0.000326082340593763,0.0000682497922172993,0.0000217388227062509,0.000100605249268463,0.000054094279757415,0.0000500498476260195,0.0000151666204927332,0.0000444887534453506,0.000162282839272245,0.00000758331024636658,0.0000298276869690419,0.000105155235416283,0.0000192110526241287,0.0000338721191004374,0.000270471398787075,0.000103133019350586,0.0000727997783651192,0.000187054986077042,0.0000515665096752928,0.000159249515173698,0.000123355180007563,0.0000647109141023282,0.000078360872545788,0.0000631942520530549,0.00000707775622994214,0.0000328610110675885,0.0000363998891825596,0.000113244099679074,0.000041455429346804,0.0000399387672975307,0.0000636998060694793,0.0000166832825420065,0.000106671897465557,0.000102121911317737,0.00021637711902966,0.000147116218779512,0.0000930219390220967,0.0000631942520530549,0.0000520720636917172,0.000142060678615267,0.0000763386564800903,0.0000525776177081416,0.0000940330470549456,0.0000384221052482574,0.00000353887811497107,0.0000444887534453506,0.0000758331024636658,0.0000844275207428813,0.000349843379365712,0.000028816578936193,0.0000930219390220967,0.0000586442659052349,0.0000712831163158459,0.000173405027633583,0.0000808886426279102,0.000304343517887512,0.00012183851795829,0.0000662275761516015,0.000116277423777621,0.00019362718829056,0,1
"Sg_CA25_21",0.0000475220775438973,0.00157581186919498,0.00109907443170673,0.0000500498476260195,0.0000166832825420065,0.000223960429276026,0.000281593587148412,0.000222443767226753,0.00890482844530007,0.00169613372510399,0.000486848517816735,0.000746703282258896,0.00014458844869739,0.00484219636931328,0.00170927812953103,0.00112839656465935,0.00011728853181047,0.0000171888365584309,0.00141605680000485,0.000280582479115564,0.000103133019350586,0.00000758331024636658,0.0000955497091042189,0.000223960429276026,0.0000500498476260195,0.00000505554016424439,0.000020727714673402,0.0000874608448414279,0.000191604972224862,0.00000101110803284888,0.000137510692467447,0.0000237610387719486,0.00000758331024636658,0.0000121332963941865,0.000477748545521095,0.0000303332409854663,0.0000439831994289262,0.00127197390532389,0.0019797495283181,0.000127905166155383,0.000291199113460477,0.0000237610387719486,0.000489376287898857,0.00000505554016424439,0.00266426966655679,0.000811414196361224,0.0024802480045783,0.00016632727140364,0.0000116277423777621,0.00021637711902966,0.000187054986077042,0.0000363998891825596,0.0000717886703322703,0.000219915997144631,0.0000278054709033441,0.000224465983292451,0.00000101110803284888,0.0000566220498395372,0.000694631218567179,0.0000136499584434599,0.0000197166066405531,0.00457930828077257,0.000412532077402342,0.0000424665373796529,0.000397871010926033,0,1
"Sg_CK52A_43",0.000773497645129391,0.0000247721468047975,0.000393321024778213,0.0001799772298471,0.00000202221606569776,0.0000465109695110484,0.00000303332409854663,0.0000935274930385212,0.0000237610387719486,0.0000176943905748554,0.0000101110803284888,0.00000353887811497107,0.0000192110526241287,0.00012638850410611,0.00000960552631206434,0.0000257832548376464,0.00458891380708463,0.00000556109418066883,0.00000960552631206434,0.000100099695252039,0.0000743164404143925,0.0000181999445912798,0.000570770484543192,0.0000636998060694793,0.0000131444044270354,0.000033366565084013,0.0000237610387719486,0.00000606664819709327,0.0000308387950018908,0.00000202221606569776,0.0000171888365584309,0.0000262888088540708,0.00000606664819709327,0.00000404443213139551,0.0000146610664763087,0.0000429720913960773,0.00000151666204927332,0.00214253792160677,0.0000197166066405531,0.000227499307390997,0.0000278054709033441,0.0000687553462337237,0.0000222443767226753,0.00000657220221351771,0.0000667331301680259,0.0000252777008212219,0.0000278054709033441,0.0000348832271332863,0.00000707775622994214,0.00000252777008212219,0.0000156721745091576,0.0000111221883613377,0.0000404443213139551,0.000210816024848991,0.0000232554847555242,0.000408487645270947,0.0000131444044270354,0.0000242665927883731,0.000354393365513532,0.0000298276869690419,0.000100605249268463,0.000041455429346804,0.0000313443490183152,0.000251765900179371,0.000987852548093354,0,1
